"article_cond","SID","article_number","exclude_item","topic","n_words","msg_rel_self","msg_rel_social","msg_share_broad","msg_share_narrow"
"control","BB-W1-0002",8,0,"climate",NA,96,94,23,64
"control","BB-W1-0002",9,0,"climate",NA,38,38,11,49
"control","BB-W1-0002",12,0,"climate",NA,100,100,100,100
"control","BB-W1-0002",17,0,"climate",NA,100,100,30,87
"control","BB-W1-0002",25,0,"climate",NA,85,85,1,27
"control","BB-W1-0016",2,0,"climate",NA,0,0,0,0
"control","BB-W1-0016",3,0,"climate",NA,0,0,0,0
"control","BB-W1-0016",8,0,"climate",NA,81,77,0,0
"control","BB-W1-0016",13,0,"climate",NA,24,0,0,0
"control","BB-W1-0016",17,0,"climate",NA,55,56,0,0
"control","BB-W1-0019",2,0,"climate",NA,41,38,19,24
"control","BB-W1-0019",3,0,"climate",NA,48,47,45,24
"control","BB-W1-0019",8,0,"climate",NA,61,66,18,20
"control","BB-W1-0019",18,0,"climate",NA,71,56,78,20
"control","BB-W1-0019",20,0,"climate",NA,98,78,70,58
"control","BB-W1-0029",4,0,"climate",NA,0,7,4,0
"control","BB-W1-0029",11,0,"climate",NA,4,11,1,4
"control","BB-W1-0029",23,0,"climate",NA,35,32,17,13
"control","BB-W1-0029",25,0,"climate",NA,64,66,7,3
"control","BB-W1-0029",26,0,"climate",NA,62,64,15,10
"control","BB-W1-0030",1,0,"climate",NA,40,31,61,58
"control","BB-W1-0030",5,0,"climate",NA,42,52,16,51
"control","BB-W1-0030",17,0,"climate",NA,49,54,52,68
"control","BB-W1-0030",18,0,"climate",NA,31,19,31,26
"control","BB-W1-0030",24,0,"climate",NA,60,44,27,49
"control","BB-W1-0031",7,0,"climate",NA,36,62,0,51
"control","BB-W1-0031",8,0,"climate",NA,20,17,0,0
"control","BB-W1-0031",18,0,"climate",NA,97,90,0,69
"control","BB-W1-0031",24,0,"climate",NA,58,50,0,31
"control","BB-W1-0031",25,0,"climate",NA,81,75,0,57
"control","BB-W1-0045",1,0,"climate",NA,50,25,10,10
"control","BB-W1-0045",2,0,"climate",NA,70,70,25,75
"control","BB-W1-0045",16,0,"climate",NA,70,70,20,60
"control","BB-W1-0045",20,0,"climate",NA,70,70,40,80
"control","BB-W1-0045",23,0,"climate",NA,70,70,50,50
"control","BB-W1-0054",1,0,"climate",NA,15,15,0,0
"control","BB-W1-0054",4,0,"climate",NA,15,15,5,25
"control","BB-W1-0054",7,0,"climate",NA,15,35,0,0
"control","BB-W1-0054",10,0,"climate",NA,50,50,5,45
"control","BB-W1-0054",13,0,"climate",NA,0,0,0,0
"control","BB-W1-0077",1,0,"climate",NA,27,27,4,4
"control","BB-W1-0077",14,0,"climate",NA,19,24,16,18
"control","BB-W1-0077",22,0,"climate",NA,100,93,20,40
"control","BB-W1-0077",24,0,"climate",NA,80,82,20,31
"control","BB-W1-0077",25,0,"climate",NA,92,90,14,35
"control","BB-W1-0080",5,0,"climate",NA,0,15,10,30
"control","BB-W1-0080",9,0,"climate",NA,0,0,1,5
"control","BB-W1-0080",11,0,"climate",NA,0,0,10,90
"control","BB-W1-0080",21,0,"climate",NA,0,0,0,15
"control","BB-W1-0080",24,0,"climate",NA,0,0,2,43
"control","BB-W1-0099",6,0,"climate",NA,80,81,9,0
"control","BB-W1-0099",14,0,"climate",NA,25,77,0,0
"control","BB-W1-0099",15,0,"climate",NA,56,55,20,45
"control","BB-W1-0099",16,0,"climate",NA,0,0,0,0
"control","BB-W1-0099",18,0,"climate",NA,0,50,0,0
"control","BB-W1-0107",5,0,"climate",NA,100,100,40,100
"control","BB-W1-0107",14,0,"climate",NA,100,100,10,90
"control","BB-W1-0107",15,0,"climate",NA,100,100,40,100
"control","BB-W1-0107",20,0,"climate",NA,100,100,30,100
"control","BB-W1-0107",21,0,"climate",NA,100,100,40,90
"control","BB-W1-0108",1,0,"climate",NA,60,60,30,30
"control","BB-W1-0108",8,0,"climate",NA,100,100,70,70
"control","BB-W1-0108",10,0,"climate",NA,90,90,90,90
"control","BB-W1-0108",17,0,"climate",NA,100,100,95,95
"control","BB-W1-0108",25,0,"climate",NA,100,100,80,80
"control","BB-W1-0119",3,0,"climate",NA,20,20,0,0
"control","BB-W1-0119",5,0,"climate",NA,100,100,0,100
"control","BB-W1-0119",12,0,"climate",NA,100,100,0,10
