"SID","article_cond","article_number","topic","n_articles","msg_rel_self","msg_rel_social","msg_share","sharing_type","sharing_type_key","sharing_behavior","n_words"
"s001","control",35,"climate",5,60,60,30,1,"msg_share_broad",0,20
"s001","other",109,"health",5,70,60,70,1,"msg_share_broad",0,11
"s001","self",51,"climate",5,60,90,60,1,"msg_share_broad",0,15
"s001","other",43,"health",5,70,70,30,1,"msg_share_broad",0,7
"s001","self",94,"climate",5,70,80,60,1,"msg_share_broad",0,11
"s002","control",17,"health",3,0,50,10,1,"msg_share_broad",0,25
"s002","other",27,"climate",3,80,90,10,1,"msg_share_broad",0,25
"s002","self",78,"health",3,100,100,100,1,"msg_share_broad",1,39
"s003","other",31,"climate",7,60,50,0,1,"msg_share_broad",0,71
"s003","control",68,"health",7,0,40,0,1,"msg_share_broad",0,36
"s003","self",38,"climate",7,100,80,0,1,"msg_share_broad",0,58
"s003","self",92,"health",7,0,50,0,1,"msg_share_broad",0,53
"s003","other",86,"climate",7,60,60,0,1,"msg_share_broad",0,61
"s003","control",75,"health",7,70,80,0,1,"msg_share_broad",0,51
"s003","self",12,"climate",7,70,50,0,1,"msg_share_broad",1,38
"s004","control",81,"climate",5,60,60,30,1,"msg_share_broad",0,7
"s004","other",59,"health",5,60,60,40,1,"msg_share_broad",0,8
"s004","other",12,"climate",5,40,40,30,1,"msg_share_broad",0,10
"s004","self",102,"health",5,30,40,20,1,"msg_share_broad",0,8
"s004","control",67,"climate",5,30,30,20,1,"msg_share_broad",0,6
"s005","self",101,"health",3,30,60,0,1,"msg_share_broad",0,45
"s005","control",81,"climate",3,70,80,10,1,"msg_share_broad",0,42
"s005","other",25,"health",3,90,80,10,1,"msg_share_broad",0,38
"s006","control",29,"climate",10,80,80,0,1,"msg_share_broad",0,32
"s006","other",92,"health",10,90,100,0,1,"msg_share_broad",0,31
"s006","self",110,"climate",10,100,100,0,1,"msg_share_broad",0,36
"s006","control",32,"health",10,50,80,0,1,"msg_share_broad",0,57
"s006","self",88,"climate",10,100,100,0,1,"msg_share_broad",0,50
"s006","other",47,"health",10,60,90,0,1,"msg_share_broad",0,35
"s006","self",70,"climate",10,80,80,0,1,"msg_share_broad",0,32
"s006","other",55,"health",10,100,100,0,1,"msg_share_broad",0,55
"s006","control",18,"climate",10,20,10,0,1,"msg_share_broad",0,26
"s006","other",109,"health",10,0,0,0,1,"msg_share_broad",0,50
"s007","self",63,"health",14,10,20,10,1,"msg_share_broad",0,9
"s007","control",56,"climate",14,60,60,40,1,"msg_share_broad",0,15
"s007","other",49,"health",14,40,60,30,1,"msg_share_broad",0,18
"s007","control",7,"climate",14,70,70,40,1,"msg_share_broad",0,17
"s007","self",8,"health",14,60,60,40,1,"msg_share_broad",0,10
"s007","control",66,"climate",14,60,60,60,1,"msg_share_broad",0,7
"s007","control",70,"climate",14,60,60,60,1,"msg_share_broad",0,7
"s007","self",33,"health",14,60,60,60,1,"msg_share_broad",0,6
"s007","other",65,"climate",14,60,60,60,1,"msg_share_broad",0,7
"s007","control",34,"health",14,60,60,60,1,"msg_share_broad",0,6
"s007","other",11,"climate",14,60,60,60,1,"msg_share_broad",0,6
"s007","self",97,"health",14,60,60,60,1,"msg_share_broad",0,6
"s008","control",86,"climate",6,30,40,10,1,"msg_share_broad",0,18
"s008","other",33,"health",6,70,70,10,1,"msg_share_broad",0,14
"s008","self",65,"climate",6,20,10,0,1,"msg_share_broad",0,29
"s008","self",23,"health",6,0,10,0,1,"msg_share_broad",0,11
"s008","control",54,"climate",6,70,80,30,1,"msg_share_broad",0,43
"s008","other",13,"health",6,20,60,10,1,"msg_share_broad",0,13
"s009","other",25,"health",7,70,60,0,1,"msg_share_broad",0,16
"s009","control",7,"climate",7,60,60,0,1,"msg_share_broad",0,13
"s009","self",43,"health",7,30,70,0,1,"msg_share_broad",0,22
"s009","self",1,"climate",7,80,70,0,1,"msg_share_broad",0,11
"s009","control",77,"climate",7,80,70,0,1,"msg_share_broad",0,14
"s009","self",78,"health",7,80,70,0,1,"msg_share_broad",0,27
"s009","self",81,"climate",7,70,50,0,1,"msg_share_broad",0,16
"s010","other",102,"health",18,20,60,10,1,"msg_share_broad",0,19
"s010","self",7,"climate",18,70,80,10,1,"msg_share_broad",0,19
"s010","control",36,"health",18,10,20,0,1,"msg_share_broad",0,11
"s010","control",58,"climate",18,10,30,30,1,"msg_share_broad",0,14
"s010","self",3,"health",18,70,70,10,1,"msg_share_broad",0,11
"s010","other",9,"health",18,20,70,0,1,"msg_share_broad",0,22
"s010","control",11,"climate",18,10,0,0,1,"msg_share_broad",0,18
"s010","self",73,"health",18,20,0,0,1,"msg_share_broad",0,20
"s010","other",110,"climate",18,70,70,10,1,"msg_share_broad",0,13
"s010","self",71,"health",18,60,90,10,1,"msg_share_broad",0,14
"s010","control",89,"climate",18,60,60,10,1,"msg_share_broad",0,10
"s010","self",32,"health",18,80,10,10,1,"msg_share_broad",0,12
"s010","control",10,"climate",18,80,10,10,1,"msg_share_broad",0,11
"s010","other",75,"health",18,80,80,10,1,"msg_share_broad",0,17
"s010","self",107,"climate",18,60,40,10,1,"msg_share_broad",0,13
"s010","other",55,"health",18,60,60,0,1,"msg_share_broad",0,18
"s010","control",67,"climate",18,60,70,10,1,"msg_share_broad",0,12
"s011","self",29,"climate",6,70,70,0,1,"msg_share_broad",0,31
"s011","self",42,"health",6,70,60,0,1,"msg_share_broad",0,30
"s011","control",66,"climate",6,70,60,0,1,"msg_share_broad",0,24
