"article_cond","SID","item","n","comment"
"control","s001","1",NA,NA
"control","s001","2",NA,NA
"control","s001","3",NA,NA
"control","s001","4",NA,NA
"control","s002","5",17,"This article is about the costly impact of using plastic and how much we have already produced."
"control","s002","6",11,"This article is about the cost of climate change impacting companies."
"control","s002","7",10,"This article is about how exercise can help children thrive."
"control","s002","8",27,"This article is about the Fires burning in California and how droughts are causing this to become a bigger problem even in other parts of the country."
"control","s003","10",NA,NA
"control","s003","11",NA,NA
"control","s003","12",NA,NA
"control","s003","9",NA,NA
"control","s004","1",NA,NA
"control","s004","2",NA,NA
"control","s004","3",NA,NA
"control","s004","4",NA,NA
"control","s005","1",NA,NA
"control","s005","2",NA,NA
"control","s005","3",NA,NA
"control","s005","4",NA,NA
"control","s006","10",NA,NA
"control","s006","11",NA,NA
"control","s006","12",NA,NA
"control","s006","9",NA,NA
"control","s007","10",NA,NA
"control","s007","11",NA,NA
"control","s007","12",NA,NA
"control","s007","9",NA,NA
"control","s008","1",15,"It is about opening up oil and gas drilling within the Arctic National Wildlife Refuge."
"control","s008","2",8,"It's about cow gas contributing to global warming."
"control","s008","3",10,"About approving a permit for coal mining in Queensland, Australia."
"control","s008","4",8,"About climate meetings between scientists and climate negotiators."
"control","s009","5",16,"This article is about the best choice for baby food based upon age of the baby."
"control","s009","6",13,"This article is about taxing citizens based on climate decisions and election outcomes."
"control","s009","7",14,"This article is about using fitness in order to stop dementia from effecting women."
"control","s009","8",16,"This article is about how sugary drinks are very bad for you and effect your life."
"control","s010","1",NA,NA
"control","s010","2",NA,NA
"control","s010","3",NA,NA
"control","s010","4",NA,NA
"control","s011","10",11,"the government showing concern for our wildlife! take that big business"
"control","s011","11",28,"Losing weight happens in the kitchen! We need to move our bodies more and continue to balance our macros--otherwise, we will see an increase on the scale."
"control","s011","12",13,"Grocery bags, plastic or paper, have problems. Probably should stick with reusable ones!"
"control","s011","9",11,"Fit bits can make your life easier and exercising....less scary?"
"control","s012","1",NA,NA
"control","s012","2",NA,NA
"control","s012","3",NA,NA
"control","s012","4",NA,NA
"control","s013","5",NA,NA
"control","s013","6",NA,NA
"control","s013","7",NA,NA
"control","s013","8",NA,NA
"control","s014","1",NA,NA
"control","s014","2",NA,NA
"control","s014","3",NA,NA
"control","s014","4",NA,NA
"control","s015","1",18,"It says that white meat and red meat both have the same level of cholesterol on peoples bodies"
"control","s015","2",15,"There are side affects to the supplements for weight loss, sexual function and muscle building"
"control","s015","3",13,"They got a permit for coal in Australia in less than a month"
"control","s015","4",12,"Cherry and pomegranate juice, and  other antioxidants don't help with muscle soreness"
"control","s016","1",NA,NA
"control","s016","2",NA,NA
"control","s016","3",NA,NA
"control","s016","4",NA,NA
"control","s017","10",NA,NA
"control","s017","11",NA,NA
"control","s017","12",NA,NA
"control","s017","9",NA,NA
"control","s018","5",NA,NA
"control","s018","6",NA,NA
"control","s018","7",NA,NA
"control","s018","8",NA,NA
"control","s019","5",NA,NA
"control","s019","6",NA,NA
"control","s019","7",NA,NA
"control","s019","8",NA,NA
"control","s020","1",14,"Oil and energy companies are lobbying for keeping Trump's rollback of fuel efficiency rules"
"control","s020","2",23,"The US GDP could decrease by 10% by 2100 if efforts aren't undertaken to ameliorate or prevent humans' actions currently causing environmental damage"
"control","s020","3",25,"Lobbyists and members of Congress and the executive branch have recently proposed over 24 changes to weaken the Endangered Species Act, claiming it harms business"
"control","s020","4",14,"Colorectal cancer risk is increased even if someone eats small amounts of processed meat"
"control","s021","10",NA,NA
"control","s021","11",NA,NA
"control","s021","12",NA,NA
"control","s021","9",NA,NA
"control","s022","1",NA,NA
"control","s022","2",NA,NA
"control","s022","3",NA,NA
"control","s022","4",NA,NA
"control","s023","10",NA,NA
"control","s023","11",NA,NA
"control","s023","12",NA,NA
"control","s023","9",NA,NA
"control","s024","5",6,"More government encroachment on wildlife refuges."
"control","s024","6",9,"Shocking that the coal lobby is still this powerful."
"control","s024","7",14,"High doses of vitamin D can improve dental health for children as they grow."
"control","s024","8",8,"Antioxidant supplements do have much evidence behind them."
"control","s025","1",NA,NA
"control","s025","2",NA,NA
"control","s025","3",NA,NA
"control","s025","4",NA,NA
"control","s026","5",NA,NA
"control","s026","6",NA,NA
"control","s026","7",NA,NA
"control","s026","8",NA,NA
"control","s027","1",19,"It seems like oil drilling companies have won the battle, with government support, for drilling in a natural preserve."
"control","s027","2",17,"Conservatives lobbied for permits to dig for more coal, and won, and it only took a month."
"control","s027","3",19,"A top chef suggests that we should just buy what we need daily, in order to avoid wasting food."
"control","s027","4",19,"What climate scientists talked about at a recent meeting, and how to reduce waste from this year's holiday meals."
"control","s028","10",NA,NA
"control","s028","11",NA,NA
"control","s028","12",NA,NA
"control","s028","9",NA,NA
"control","s029","10",NA,NA
"control","s029","11",NA,NA
"control","s029","12",NA,NA
"control","s029","9",NA,NA
"control","s030","1",NA,NA
"control","s030","2",NA,NA
"control","s030","3",NA,NA
"control","s030","4",NA,NA
"control","s031","1",NA,NA
"control","s031","2",NA,NA
"control","s031","3",NA,NA
"control","s031","4",NA,NA
"control","s032","5",18,"lax car emissions rules are a result of the oil industry's campaigning, and there is pushback from environmentalists"
"control","s032","6",7,"bananas are more effective than sports drinks"
"control","s032","7",8,"there's a big garbage dump in the sea"
"control","s032","8",10,"low-impact sports may be a dangerous form of exercise"
"control","s033","5",NA,NA
"control","s033","6",NA,NA
"control","s033","7",NA,NA
"control","s033","8",NA,NA
"control","s034","5",NA,NA
"control","s034","6",NA,NA
"control","s034","7",NA,NA
"control","s034","8",NA,NA
"control","s035","5",NA,NA
"control","s035","6",NA,NA
"control","s035","7",NA,NA
"control","s035","8",NA,NA
"control","s036","10",NA,NA
"control","s036","11",NA,NA
"control","s036","12",NA,NA
"control","s036","9",NA,NA
"control","s037","5",7,"The relationship between environmentalists and nuclear power."
"control","s037","6",10,"People who are uneducated about G.M.O.s being the loudest critics."
"control","s037","7",10,"Whether parents' decisions regarding their children's health have an effect."
"control","s037","8",9,"Hearing loss putting you more at risk for injury."
"control","s038","10",NA,NA
"control","s038","11",NA,NA
"control","s038","12",NA,NA
"control","s038","9",NA,NA
"control","s039","5",NA,NA
"control","s039","6",NA,NA
"control","s039","7",NA,NA
"control","s039","8",NA,NA
"control","s040","1",NA,NA
"control","s040","2",NA,NA
"control","s040","3",NA,NA
"control","s040","4",NA,NA
"control","s041","1",10,"If a gut bacteria supplement can help humans run faster"
"control","s041","2",10,"Invasive grasses have the possibility of making wildfires more frequent"
"control","s041","3",7,"Being overweight is linked to some cancers"
"control","s041","4",12,"A.I. can play a role in predicting and even preventing breast cancer"
"control","s042","5",19,"It's about the way wildfires are getting more widespread and more damaging, and about whether climate change is contributing."
"control","s042","6",7,"It's about a trend to larger avalanches."
"control","s042","7",7,"It's about Greta Thurnberg's career of activism."
"control","s042","8",30,"I am guessing that ""individualized approach"" means adjusting treatment based on detailed study of the individual patient, and the article is about Dr. Blau starting a company to implement it."
"control","s043","10",12,"The increasing popularity of solar power and the pervasiveness of fossil fuels."
"control","s043","11",12,"Climate change - how the ocean and automakers are affected by climate change."
"control","s043","12",11,"The variance in nutrient levels in food as you cook it."
"control","s043","9",12,"Environmentalists like nuclear power because it helps you reduce your carbon footprint."
"control","s044","10",NA,NA
"control","s044","11",NA,NA
"control","s044","12",NA,NA
"control","s044","9",NA,NA
"control","s045","5",NA,NA
"control","s045","6",NA,NA
"control","s045","7",NA,NA
"control","s045","8",NA,NA
"control","s046","5",NA,NA
"control","s046","6",NA,NA
"control","s046","7",NA,NA
"control","s046","8",NA,NA
"control","s047","1",NA,NA
"control","s047","2",NA,NA
"control","s047","3",NA,NA
"control","s047","4",NA,NA
"control","s048","5",NA,NA
"control","s048","6",NA,NA
"control","s048","7",NA,NA
"control","s048","8",NA,NA
"control","s049","5",NA,NA
"control","s049","6",NA,NA
"control","s049","7",NA,NA
"control","s049","8",NA,NA
"control","s050","1",NA,NA
"control","s050","2",NA,NA
"control","s050","3",NA,NA
"control","s050","4",NA,NA
"control","s051","10",NA,NA
"control","s051","11",NA,NA
"control","s051","12",NA,NA
"control","s051","9",NA,NA
"control","s052","1",NA,NA
"control","s052","2",NA,NA
"control","s052","3",NA,NA
"control","s052","4",NA,NA
"control","s053","1",9,"It is about a supplement to help combat obesity."
"control","s053","2",12,"It is about how climate change is effecting parts of the world."
"control","s053","3",14,"It is about converting our usage of single use plastics like straws and spoons."
"control","s053","4",12,"It is about how the Pharaohs tried to adapt to drought conditions."
"control","s054","10",NA,NA
"control","s054","11",NA,NA
"control","s054","12",NA,NA
"control","s054","9",NA,NA
"control","s055","10",NA,NA
"control","s055","11",NA,NA
"control","s055","12",NA,NA
"control","s055","9",NA,NA
"control","s056","1",NA,NA
"control","s056","2",NA,NA
"control","s056","3",NA,NA
"control","s056","4",NA,NA
"control","s057","5",12,"The article is about carbon emission reductions in countries dependent on coal."
"control","s057","6",14,"The article is about oil and gas exploration in the Arctic National Wildlife Refuge."
"control","s057","7",11,"Highlights from climate meetings and tips to reduce holiday food waste."
"control","s057","8",6,"Antioxidants and muscle soreness after exercise."
"control","s058","5",NA,NA
"control","s058","6",NA,NA
"control","s058","7",NA,NA
"control","s058","8",NA,NA
"control","s059","5",NA,NA
"control","s059","6",NA,NA
"control","s059","7",NA,NA
"control","s059","8",NA,NA
"control","s060","10",NA,NA
"control","s060","11",NA,NA
"control","s060","12",NA,NA
"control","s060","9",NA,NA
"control","s061","10",NA,NA
"control","s061","11",NA,NA
"control","s061","12",NA,NA
"control","s061","9",NA,NA
"control","s062","1",NA,NA
"control","s062","2",NA,NA
"control","s062","3",NA,NA
"control","s062","4",NA,NA
"control","s063","5",10,"climate change opinions and actions will determine possible election results"
"control","s063","6",9,"similar temperatures for heat wave record might differ slightly"
"control","s063","7",10,"a mining project that keeps countries hooked despite the risks"
"control","s063","8",9,"some healthy issues that are linked to Parkinson disease"
"control","s064","1",21,"A type of gut bacteria found in mice that makes them run faster that may or may  not work for humans"
"control","s064","2",8,"Invasive species of grasses may make wildfires worse"
"control","s064","3",13,"Researchers are using Artificial Intelligence to help predict and treat Breast Cancer patients"
"control","s064","4",15,"People who eat Flavonoid rich foods have a lower risk for cancer and cardiovascular events"
"control","s065","10",NA,NA
"control","s065","11",NA,NA
"control","s065","12",NA,NA
"control","s065","9",NA,NA
"control","s066","1",15,"cow impact on global warming AND trump not making a climate report he should have"
"control","s066","2",3,"times's climateTECH conference"
"control","s066","3",11,"risk of supplementation for weight loss, sexual function, and muscle building"
"control","s066","4",6,"skipping breakfast to lose weight. shocker."
"control","s067","5",15,"This article discusses whether or not climate change contributes to the increase in major flooding."
"control","s067","6",18,"This article discusses findings that link increased consumption of processed meats to increased risk of developing breast cancer."
"control","s067","7",11,"Non-native grasses might increase the frequency and severity of wildfires."
"control","s067","8",21,"This article discusses frequency of cancer that are potentially partially caused by weight-related reasons in different regions of the U.S."
"control","s068","5",NA,NA
"control","s068","6",NA,NA
"control","s068","7",NA,NA
"control","s068","8",NA,NA
"control","s069","1",NA,NA
"control","s069","2",NA,NA
"control","s069","3",NA,NA
"control","s069","4",NA,NA
"control","s070","1",NA,NA
"control","s070","2",NA,NA
"control","s070","3",NA,NA
"control","s070","4",NA,NA
"control","s071","5",NA,NA
"control","s071","6",NA,NA
"control","s071","7",NA,NA
"control","s071","8",NA,NA
"control","s072","1",13,"Young people are trying to make a difference in climate change by protesting."
"control","s072","2",10,"It talks about the differences between plastic and paper bags."
"control","s072","3",10,"Heart monitors can make high intensity interval training more fun."
"control","s072","4",11,"Extra food can lead to extra weight gain even when exercising."
"control","s073","5",NA,NA
"control","s073","6",NA,NA
"control","s073","7",NA,NA
"control","s073","8",NA,NA
"control","s074","1",NA,NA
"control","s074","2",NA,NA
"control","s074","3",NA,NA
"control","s074","4",NA,NA
"control","s075","10",NA,NA
"control","s075","11",NA,NA
"control","s075","12",NA,NA
"control","s075","9",NA,NA
"control","s076","5",17,"The world is slowly losing geographical areas that are important in understanding history and development of humanity."
"control","s076","6",11,"The absolute zero benefit to drinking sugar on span of life."
"control","s076","7",16,"Making some changes in day-to-day life can have a positive impact on heart health."
"control","s076","8",19,"United States stops Artic Council, for first time, from making a statement about the status of their region's environment."
"control","s077","10",NA,NA
"control","s077","11",NA,NA
"control","s077","12",NA,NA
"control","s077","9",NA,NA
"control","s078","10",NA,NA
"control","s078","11",NA,NA
"control","s078","12",NA,NA
"control","s078","9",NA,NA
"control","s079","1",NA,NA
"control","s079","2",NA,NA
"control","s079","3",NA,NA
"control","s079","4",NA,NA
"control","s080","1",NA,NA
"control","s080","2",NA,NA
"control","s080","3",NA,NA
"control","s080","4",NA,NA
"control","s081","1",NA,NA
"control","s081","2",NA,NA
"control","s081","3",NA,NA
"control","s081","4",NA,NA
"control","s082","5",NA,NA
"control","s082","6",NA,NA
"control","s082","7",NA,NA
"control","s082","8",NA,NA
"control","s083","5",NA,NA
"control","s083","6",NA,NA
"control","s083","7",NA,NA
"control","s083","8",NA,NA
"control","s084","10",23,"This article is about types of grass that are growing where they did not grow before and how this may cause more wildfires."
"control","s084","11",18,"This article offers information about flooding and climate change and how to stay safe if the water rises."
"control","s084","12",34,"This article is about how people are able to stay home more with technology advances but hints at the idea that even though it saves energy there may be more to it than that."
"control","s084","9",28,"This article is about the dangers of climate change increasing the likely hood of floods and the fact that people are not buying insurance to protect against it."
"control","s085","5",NA,NA
"control","s085","6",NA,NA
"control","s085","7",NA,NA
"control","s085","8",NA,NA
"control","s086","1",NA,NA
"control","s086","2",NA,NA
"control","s086","3",NA,NA
"control","s086","4",NA,NA
"control","s087","5",NA,NA
"control","s087","6",NA,NA
"control","s087","7",NA,NA
"control","s087","8",NA,NA
"control","s088","1",72,"This article is about addressing the connection between a strong immune system and how well the body fights off colds and the flu. The purpose of what the article is about seems to be addressing the specific factors that contribute to how well a person wards off colds and the flu outside of the general assumption that a strong immune system is usually the way to protect the body from getting sick."
"control","s088","2",30,"This article is about how solar power is becoming more widely used in the world as of 2017, but that it is still only a small fraction of total electricity."
"control","s088","3",11,"This article is about asking automakers their views on climate science."
"control","s088","4",40,"This article is about addressing the assumption that parents are responsible for disciplining their children and that within that assumption they are expected to be held responsible for health issues like the weight of their kids if they are obese."
"control","s089","1",NA,NA
"control","s089","2",NA,NA
"control","s089","3",NA,NA
"control","s089","4",NA,NA
"control","s090","10",10,"Parents play an important role in their kids' body weight"
"control","s090","11",11,"How cooking different foods impacts the amount of nutrients that remain"
"control","s090","12",9,"The relationship between climate change and the auto industry"
"control","s090","9",10,"Climate change is important to people voting in upcoming elections"
"control","s091","1",NA,NA
"control","s091","2",NA,NA
"control","s091","3",NA,NA
"control","s091","4",NA,NA
"control","s092","1",NA,NA
"control","s092","2",NA,NA
"control","s092","3",NA,NA
