"SID","article_cond","article_number","topic","msg_rel_self","msg_rel_social","LiveShare","n_articles","sharing_type","msg_share","sharing_type_key","comment","Article.Title","Source.URL","Topic","check","n_words"
"s001","control",35,"climate",60,60,0,5,1,30,"msg_share_broad","This article is about the EU leaders not being able to come to an agreement about a climate change plan.","E.U. Leaders Fail to Strengthen Climate Target","https://www.nytimes.com/2019/06/20/climate/europe-carbon-neutral.html","climate",0,20
"s001","other",109,"health",70,60,0,5,1,70,"msg_share_broad","This article is about how obese people do not live longer.","‘Obesity Paradox’ Fails to Hold Up in Study","https://www.nytimes.com/2018/02/28/well/obesity-paradox-fails-to-hold-up-in-study.html","wellness",0,11
"s001","self",51,"climate",60,90,0,5,1,60,"msg_share_broad","This article matters to me because I know people that live in flood prone areas.","Homes Are Being Built the Fastest in Many Flood-Prone Areas, Study Finds","https://www.nytimes.com/2019/07/31/climate/climate-change-new-homes-flooding.html","climate",0,15
"s001","other",43,"health",70,70,0,5,1,30,"msg_share_broad","I know some women that are old.","Fitness in Midlife May Help Fend Off Dementia","https://www.nytimes.com/2018/03/28/well/mind/fitness-in-midlife-may-help-fend-off-dementia.html","wellness",0,7
"s001","self",94,"climate",70,80,0,5,1,60,"msg_share_broad","I care about the environment so this data matters to me.","Want Cleaner Air Try Using Less Deodorant","https://www.nytimes.com/2018/02/16/climate/perfume-pollution-smog.html","climate",0,11
"s002","control",17,"health",0,50,0,3,1,10,"msg_share_broad","It is about comparing bananas to sports drinks and how bananas are better when it comes to less inflammation. However with bananas there is bloating.","Bananas vs. Sports Drinks: Bananas Win in Study","https://www.nytimes.com/2018/04/04/well/move/banana-sports-drinks-exercise-workout-carbs.html","wellness",0,25
"s002","other",27,"climate",80,90,0,3,1,10,"msg_share_broad","It matters to people I know because I know they have a strong opinion about climate change and they want to see something good happen.","Climate Change and the Elections: Five Takeaways","https://www.nytimes.com/2018/11/07/climate/climate-change-midterm-elections.html","climate",0,25
"s002","self",78,"health",100,100,1,3,1,100,"msg_share_broad","It matters to me because I consume a lot of sugar but I do not want to die early from it. So it makes me want to change my behaviors when it comes to food and what I eat.","The Downside of Having a Sweet Tooth","https://www.nytimes.com/2019/07/22/well/eat/the-downside-of-having-a-sweet-tooth.html","wellness",0,39
"s003","other",31,"climate",60,50,0,7,1,0,"msg_share_broad","This article matters because it shows that Exxon acts hypocritically and in bad faith when it claims to believe in the dangers of climate change and wants to be a part of climate change solutions yet attempts to block investigations into its research and public statements about climate change. It also shows that Exxon is finally being held accountable by federal judges that are allowing cases against Exxon to go forward.","Court Dismisses Exxon’s Effort to Block Climate Investigation","https://www.nytimes.com/2018/03/29/climate/exxon-climate-change.html","climate",0,71
"s003","control",68,"health",0,40,0,7,1,0,"msg_share_broad","The article is about high-intensity training and how heart rate monitors can be incorporated into a training regime to make training easier. Heart rate monitors allow you to exercise at your target threshold without overexertion","Scared of High-Intensity Interval Training? A Heart Monitor Can Make It Fun and Easy","https://www.nytimes.com/2018/05/29/well/move/high-intensity-interval-training-heart-rate-monitor-hiit-exercise-fitness.html","wellness",0,36
"s003","self",38,"climate",100,80,0,7,1,0,"msg_share_broad","The article highlights the importance of flood insurance and explains why some people are forgoing flood insurance even in the face of climate change and increases in extreme weather events. It says that people often underestimate the odds of something bad happening to them and that flood insurance is one of the best recovery tools one can have.","Even as Floods Worsen With Climate Change, Fewer People Insure Against Disaster","https://www.nytimes.com/2019/06/08/climate/climate-flood-insurance.html","climate",0,58
"s003","self",92,"health",0,50,0,7,1,0,"msg_share_broad","This article MIGHT matter to me if I ever planned on having children in the future. Unfortunately I don't think that's the case and it's unlikely that I'll change my mind anytime soon. So the truth is the article really doesn't matter to me but I'm writing something because you compelled me to.","Vitamin D During Pregnancy May Improve Dental Health of Babies","https://www.nytimes.com/2019/08/13/well/family/vitamin-d-during-pregnancy-may-improve-dental-health-of-babies.html","wellness",0,53
"s003","other",86,"climate",60,60,0,7,1,0,"msg_share_broad","This article might matter to people I know because it highlights the importance of politicians pivoting their campaigns to include climate change policies as part of their agenda. Climate change is becoming an increasingly important issue to voters and politicians need to adapt and explain their stance on it rather than avoiding discussing the issue as they did in the past.","Three Campaign Ads That Are Putting Climate Change on the Agenda","https://www.nytimes.com/2018/10/25/climate/campaign-ads-climate-change.html","climate",0,61
"s003","control",75,"health",70,80,0,7,1,0,"msg_share_broad","Consumption of sugary drinks increases a person's risk of death. After controlling for other variables it was found that each additional serving of sugary drinks resulted in a 7% increased risk of death from any cause a 5% increase for cancer death and a 10% increase for death from cardiovascular disease.","Sugary Drinks Tied to Shorter Life Span","https://www.nytimes.com/2019/03/21/well/eat/sugary-drinks-tied-to-shorter-life-span.html","wellness",0,51
"s003","self",12,"climate",70,50,1,7,1,0,"msg_share_broad","The article gives me tips about how to minimize my own impact on the environment by consuming less. It points to New Years resolutions such as holding onto working electronic devices reducing food waste and buying less clothing","An Easy New Year’s Resolution: Help the Earth by Consuming Less","https://www.nytimes.com/2019/01/02/climate/climate-fwd-new-years-resolutions.html","climate",0,38
"s004","control",81,"climate",60,60,0,5,1,30,"msg_share_broad","Trump seeked to wipe out fuel conservation.","The Oil Industry’s Covert Campaign to Rewrite American Car Emissions Rules","https://www.nytimes.com/2018/12/13/climate/cafe-emissions-rollback-oil-industry.html","climate",0,7
"s004","other",59,"health",60,60,0,5,1,40,"msg_share_broad","Processed meat increases the chance of stomach cancer","Is Eating Deli Meat Really That Bad for You?","https://www.nytimes.com/2018/12/14/well/eat/is-eating-deli-meats-really-that-bad-for-you.html","wellness",0,8
"s004","other",12,"climate",40,40,0,5,1,30,"msg_share_broad","This was back in the good ol days pre-covid","An Easy New Year’s Resolution: Help the Earth by Consuming Less","https://www.nytimes.com/2019/01/02/climate/climate-fwd-new-years-resolutions.html","climate",0,10
"s004","self",102,"health",30,40,0,5,1,20,"msg_share_broad","fish is good for pregnant women and kids","Why Children (and Pregnant Women) May Want to Eat More Fish","https://www.nytimes.com/2019/10/30/well/eat/children-pregnant-women-eat-fish-seafood-brain-smarter.html","wellness",0,8
"s004","control",67,"climate",30,30,0,5,1,20,"msg_share_broad","Younger generation protesting around the world","Protesting Climate Change, Young People Take to Streets in a Global Strike","https://www.nytimes.com/2019/09/20/climate/global-climate-strike.html","climate",0,6
