"SID","article_number","atlas","global_mean","parameter_estimate","outlier","run","trial","article_cond","msg_share","msg_rel_self","msg_rel_social","trial_type","topic","site"
"BPA01","19","value",-0.019437635317445,-0.625627517700195,"no","1",16,"control",4,2,3,"read_control","climate","Netherlands"
"BPA01","19","auditory",-0.019437635317445,-0.043483980000019,"no","1",16,"control",4,2,3,"read_control","climate","Netherlands"
"BPA01","19","sensorimotor",-0.019437635317445,0.259153783321381,"no","1",16,"control",4,2,3,"read_control","climate","Netherlands"
"BPA01","3","value",0.212851405143738,-0.486886858940125,"no","1",14,"control",4,3,3,"read_control","health","Netherlands"
"BPA01","3","auditory",0.212851405143738,0.280454039573669,"no","1",14,"control",4,3,3,"read_control","health","Netherlands"
"BPA01","3","sensorimotor",0.212851405143738,0.561762452125549,"no","1",14,"control",4,3,3,"read_control","health","Netherlands"
"BPA01","33","value",-0.515958309173584,-1.11333632469177,"no","1",1,"control",4,3,2,"read_control","health","Netherlands"
"BPA01","33","auditory",-0.515958309173584,-1.18986928462982,"no","1",1,"control",4,3,2,"read_control","health","Netherlands"
"BPA01","33","sensorimotor",-0.515958309173584,-0.696869730949402,"no","1",1,"control",4,3,2,"read_control","health","Netherlands"
"BPA01","41","value",-0.028379417955875,-0.93267697095871,"no","1",3,"control",3,3,3,"read_control","health","Netherlands"
"BPA01","41","auditory",-0.028379417955875,-0.103284850716591,"no","1",3,"control",3,3,3,"read_control","health","Netherlands"
"BPA01","41","sensorimotor",-0.028379417955875,0.210314869880676,"no","1",3,"control",3,3,3,"read_control","health","Netherlands"
"BPA01","45","value",-0.30856528878212,-0.657224357128143,"no","1",2,"control",3,2,2,"read_control","climate","Netherlands"
"BPA01","45","auditory",-0.30856528878212,-0.689698040485382,"no","1",2,"control",3,2,2,"read_control","climate","Netherlands"
"BPA01","45","sensorimotor",-0.30856528878212,-0.221729919314384,"no","1",2,"control",3,2,2,"read_control","climate","Netherlands"
"BPA01","52","value",-0.252171009778976,-0.936070799827576,"no","1",4,"control",2,2,2,"read_control","climate","Netherlands"
"BPA01","52","auditory",-0.252171009778976,-0.031733874231577,"no","1",4,"control",2,2,2,"read_control","climate","Netherlands"
"BPA01","52","sensorimotor",-0.252171009778976,0.370196431875229,"no","1",4,"control",2,2,2,"read_control","climate","Netherlands"
"BPA01","6","value",0.145692452788353,-0.671144366264343,"no","1",13,"control",3,2,2,"read_control","climate","Netherlands"
"BPA01","6","auditory",0.145692452788353,0.263562202453613,"no","1",13,"control",3,2,2,"read_control","climate","Netherlands"
"BPA01","6","sensorimotor",0.145692452788353,0.285624533891678,"no","1",13,"control",3,2,2,"read_control","climate","Netherlands"
"BPA01","63","value",0.242780283093452,0.208582475781441,"no","1",36,"control",4,3,3,"read_control","climate","Netherlands"
"BPA01","63","auditory",0.242780283093452,0.002797925844789,"no","1",36,"control",4,3,3,"read_control","climate","Netherlands"
"BPA01","63","sensorimotor",0.242780283093452,0.486423313617706,"no","1",36,"control",4,3,3,"read_control","climate","Netherlands"
"BPA01","68","value",0.118671774864197,-0.707572996616364,"no","1",35,"control",3,2,2,"read_control","health","Netherlands"
"BPA01","68","auditory",0.118671774864197,-0.061719857156277,"no","1",35,"control",3,2,2,"read_control","health","Netherlands"
"BPA01","68","sensorimotor",0.118671774864197,0.23973685503006,"no","1",35,"control",3,2,2,"read_control","health","Netherlands"
"BPA01","76","value",-0.140279963612556,-0.928851008415222,"no","1",33,"control",3,2,1,"read_control","climate","Netherlands"
