"group","SID","item","article_cond","article_number","trial","topic","sharing_type_key","sharing_type","msg_share","msg_rel_self","msg_rel_social","n_words"
"timed","s001","1","control",58,1,"health","msg_share_broad",0,0,83,97,NA
"comment","s002","1","other",71,1,"climate","msg_share_broad",0,50,59,61,35
"untimed","s003","1","self",37,1,"climate","msg_share_broad",0,65,97,97,NA
"timed","s004","1","control",6,1,"climate","msg_share_broad",0,33,34,52,NA
"untimed","s005","1","control",93,1,"health","msg_share_broad",0,75,74,88,NA
"untimed","s006","1","self",30,1,"climate","msg_share_broad",0,100,67,78,NA
"timed","s007","1","self",82,1,"climate","msg_share_broad",0,42,84,85,NA
"comment","s008","1","control",10,1,"climate","msg_share_broad",0,26,51,51,15
"comment","s009","1","self",46,1,"climate","msg_share_broad",0,40,61,62,29
"untimed","s010","1","control",62,1,"health","msg_share_broad",0,51,1,64,NA
"comment","s011","1","self",75,1,"health","msg_share_broad",0,47,98,86,25
"untimed","s012","1","control",25,1,"climate","msg_share_broad",0,2,2,2,NA
"untimed","s013","1","self",52,1,"climate","msg_share_broad",0,27,23,16,NA
"untimed","s014","1","control",76,1,"climate","msg_share_broad",0,0,34,34,NA
"comment","s015","1","control",3,1,"health","msg_share_broad",0,0,16,20,18
"timed","s016","1","control",68,1,"health","msg_share_broad",0,32,45,34,NA
"timed","s017","1","self",17,1,"health","msg_share_broad",0,32,34,76,NA
"timed","s018","1","other",93,1,"health","msg_share_broad",0,72,85,81,NA
"untimed","s019","1","other",78,1,"health","msg_share_broad",0,10,12,50,NA
"comment","s020","1","control",90,1,"climate","msg_share_broad",0,0,15,16,14
"timed","s021","1","other",51,1,"health","msg_share_broad",0,1,0,0,NA
"untimed","s022","1","control",37,1,"climate","msg_share_broad",0,0,100,52,NA
"untimed","s023","1","other",49,1,"health","msg_share_broad",0,5,41,80,NA
"comment","s024","1","other",1,1,"climate","msg_share_broad",0,12,46,36,8
"untimed","s025","1","control",66,1,"climate","msg_share_broad",0,54,77,78,NA
"untimed","s026","1","self",44,1,"health","msg_share_broad",0,0,0,66,NA
"comment","s027","1","control",10,1,"climate","msg_share_broad",0,76,26,27,19
"untimed","s028","1","self",63,1,"climate","msg_share_broad",0,85,92,93,NA
"untimed","s029","1","other",32,1,"climate","msg_share_broad",0,60,66,67,NA
"timed","s030","1","control",92,1,"climate","msg_share_broad",0,10,56,68,NA
"timed","s031","1","control",72,1,"climate","msg_share_broad",0,4,19,19,NA
"comment","s032","1","other",87,1,"climate","msg_share_broad",0,0,0,0,7
"untimed","s033","1","other",48,1,"climate","msg_share_broad",0,50,70,50,NA
"timed","s034","1","other",89,1,"climate","msg_share_broad",0,64,99,99,NA
"timed","s035","1","self",77,1,"climate","msg_share_broad",0,47,58,71,NA
"untimed","s036","1","other",45,1,"climate","msg_share_broad",0,73,75,74,NA
"comment","s037","1","self",21,1,"climate","msg_share_broad",0,94,98,97,10
"timed","s038","1","self",83,1,"health","msg_share_broad",0,9,60,16,NA
"untimed","s039","1","self",21,1,"climate","msg_share_broad",0,6,0,0,NA
"timed","s040","1","control",26,1,"climate","msg_share_broad",0,68,52,55,NA
"comment","s041","1","control",28,1,"health","msg_share_broad",0,4,70,66,10
"comment","s042","1","self",58,1,"health","msg_share_broad",0,8,90,85,27
"comment","s043","1","other",21,1,"climate","msg_share_broad",0,81,95,96,17
"timed","s044","1","other",47,1,"climate","msg_share_broad",0,0,2,1,NA
"untimed","s045","1","self",9,1,"climate","msg_share_broad",0,6,3,38,NA
"timed","s046","1","other",43,1,"health","msg_share_broad",0,51,97,62,NA
"untimed","s047","1","control",62,1,"health","msg_share_broad",0,55,17,10,NA
"untimed","s048","1","self",54,1,"health","msg_share_broad",0,20,20,21,NA
"timed","s049","1","self",84,1,"health","msg_share_broad",0,12,71,72,NA
"untimed","s050","1","control",81,1,"climate","msg_share_broad",0,0,0,0,NA
"untimed","s051","1","other",91,1,"health","msg_share_broad",0,61,34,85,NA
"timed","s052","1","control",34,1,"health","msg_share_broad",0,0,2,4,NA
"comment","s053","1","control",49,1,"health","msg_share_broad",0,26,26,58,9
"untimed","s054","1","other",0,1,"health","msg_share_broad",0,53,49,93,NA
"timed","s055","1","self",75,1,"health","msg_share_broad",0,39,27,35,NA
"untimed","s056","1","control",69,1,"health","msg_share_broad",0,0,0,0,NA
"comment","s057","1","other",0,1,"health","msg_share_broad",0,78,50,51,13
"timed","s058","1","other",48,1,"climate","msg_share_broad",0,3,12,9,NA
"timed","s059","1","self",94,1,"health","msg_share_broad",0,99,100,94,NA
"timed","s060","1","other",85,1,"climate","msg_share_broad",0,46,30,30,NA
"untimed","s061","1","self",27,1,"climate","msg_share_broad",0,64,65,14,NA
"untimed","s062","1","control",13,1,"climate","msg_share_broad",0,51,100,100,NA
"comment","s063","1","other",23,1,"health","msg_share_broad",0,96,99,99,20
"comment","s064","1","control",28,1,"health","msg_share_broad",0,0,0,63,21
"timed","s065","1","other",71,1,"climate","msg_share_broad",0,0,0,0,NA
"comment","s066","1","control",1,1,"climate","msg_share_broad",0,0,90,87,15
"comment","s067","1","other",28,1,"health","msg_share_broad",0,54,1,64,11
"untimed","s068","1","self",51,1,"health","msg_share_broad",0,1,62,65,NA
"timed","s069","1","control",40,1,"climate","msg_share_broad",0,24,34,22,NA
"timed","s070","1","control",5,1,"health","msg_share_broad",0,57,87,69,NA
"untimed","s071","1","other",92,1,"climate","msg_share_broad",0,1,1,91,NA
"comment","s072","1","control",72,1,"climate","msg_share_broad",0,18,34,28,13
"timed","s073","1","other",85,1,"climate","msg_share_broad",0,92,99,97,NA
"untimed","s074","1","control",3,1,"health","msg_share_broad",0,36,73,69,NA
"untimed","s075","1","self",13,1,"climate","msg_share_broad",0,1,59,70,NA
"comment","s076","1","other",45,1,"climate","msg_share_broad",0,1,72,85,16
"timed","s077","1","other",29,1,"health","msg_share_broad",0,62,71,100,NA
"untimed","s078","1","other",61,1,"climate","msg_share_broad",0,18,74,73,NA
"untimed","s079","1","control",76,1,"climate","msg_share_broad",0,22,22,21,NA
"untimed","s080","1","control",50,1,"climate","msg_share_broad",0,65,66,100,NA
"untimed","s081","1","control",48,1,"climate","msg_share_broad",0,65,50,49,NA
"untimed","s082","1","other",42,1,"climate","msg_share_broad",0,0,81,81,NA
"timed","s083","1","self",40,1,"climate","msg_share_broad",0,100,50,77,NA
"comment","s084","1","self",33,1,"health","msg_share_broad",0,50,87,87,18
"untimed","s085","1","self",57,1,"health","msg_share_broad",0,83,83,83,NA
"untimed","s086","1","control",30,1,"climate","msg_share_broad",0,74,51,51,NA
"timed","s087","1","other",6,1,"climate","msg_share_broad",0,42,56,84,NA
"comment","s088","1","control",16,1,"health","msg_share_broad",0,100,83,83,72
"timed","s089","1","control",79,1,"health","msg_share_broad",0,0,0,0,NA
"comment","s090","1","other",21,1,"climate","msg_share_broad",0,0,41,42,15
"untimed","s091","1","control",78,1,"health","msg_share_broad",0,100,53,100,NA
"untimed","s092","1","control",83,1,"health","msg_share_broad",0,27,100,100,NA
"untimed","s093","1","self",16,1,"health","msg_share_broad",0,1,53,51,NA
"comment","s094","1","self",94,1,"health","msg_share_broad",0,50,60,37,9
"comment","s095","1","other",4,1,"climate","msg_share_broad",0,56,63,65,8
"untimed","s096","1","other",30,1,"climate","msg_share_broad",0,44,73,88,NA
"comment","s097","1","control",80,1,"health","msg_share_broad",0,0,69,69,15
"untimed","s098","1","self",40,1,"climate","msg_share_broad",0,100,100,100,NA
"untimed","s099","1","self",40,1,"climate","msg_share_broad",0,54,62,62,NA
"untimed","s100","1","self",12,1,"climate","msg_share_broad",0,13,31,35,NA
"comment","s101","1","self",20,1,"health","msg_share_broad",0,21,83,81,21
"timed","s102","1","control",83,1,"health","msg_share_broad",0,10,8,7,NA
"comment","s103","1","self",95,1,"climate","msg_share_broad",0,48,54,60,29
"untimed","s104","1","self",72,1,"climate","msg_share_broad",0,1,1,1,NA
"untimed","s105","1","other",54,1,"health","msg_share_broad",0,14,0,0,NA
"untimed","s106","1","self",49,1,"health","msg_share_broad",0,1,86,1,NA
"untimed","s107","1","self",10,1,"climate","msg_share_broad",0,8,19,16,NA
"untimed","s108","1","other",46,1,"climate","msg_share_broad",0,13,65,64,NA
"timed","s109","1","self",94,1,"health","msg_share_broad",0,78,79,89,NA
"untimed","s110","1","other",15,1,"health","msg_share_broad",0,10,40,75,NA
"timed","s111","1","other",28,1,"health","msg_share_broad",0,0,0,0,NA
"untimed","s112","1","control",58,1,"health","msg_share_broad",0,53,71,53,NA
"comment","s113","1","self",77,1,"climate","msg_share_broad",0,0,12,13,7
"comment","s114","1","other",69,1,"health","msg_share_broad",0,0,0,1,21
"untimed","s115","1","other",0,1,"health","msg_share_broad",0,22,91,79,NA
"untimed","s116","1","self",7,1,"health","msg_share_broad",0,2,2,3,NA
"comment","s117","1","control",90,1,"climate","msg_share_broad",0,50,100,100,12
"timed","s118","1","self",76,1,"climate","msg_share_broad",0,30,78,61,NA
"untimed","s119","1","control",54,1,"health","msg_share_broad",0,34,19,20,NA
"comment","s120","1","self",22,1,"climate","msg_share_broad",0,15,57,58,14
"comment","s121","1","control",48,1,"climate","msg_share_broad",0,84,92,93,14
