main_headline,snippet,topic
"Supplements for Weight Loss, Sexual Function and Muscle Building May Be Deadly","Side effects from dietary supplements can be serious, even fatal, a study of those under 25 found.",health
"The Meat Question, by the Numbers",How much do gassy cows contribute to global warming? Also: The Trump administration misses a deadline for a climate report.,climate
Farmer’s Market Shopping With the Chef Tom Colicchio,"A top chef’s advice: To avoid wasting food, just buy the produce you’ll cook for tonight’s dinner....",health
White Meat vs. Red Meat and Cholesterol Levels,"In a study, red meat and white meat had the same effect on levels of “bad” cholesterol.",health
5 Takeaways From The Times’s ClimateTECH Conference,"At the gathering of technology and business leaders in San Francisco, discussion ranged from big data to lab-grown meat to a new candidacy for governor.",climate
A Possible Weight Loss Strategy: Skip Breakfast Before Exercise,A new study finds that the choice to eat or omit a meal before an early workout could affect our relationship to food for the rest of the day.,health
E.U. Leaders Fail to Strengthen Climate Target,A proposal to reduce the 28-country bloc's net carbon emissions to zero by 2050 failed when eastern countries that are heavily dependent on coal raised objections. ,climate
Vitamin D During Pregnancy May Improve Dental Health of Babies,High doses of vitamin D during pregnancy improved tooth enamel in offspring.,health
"A Busy Week for Climate Scientists, and Climate Negotiators","We have a few highlights from two big climate meetings. Also, tips how to reduce your holiday food waste.",climate
"Australia, in a Victory for Coal, Clears the Way for a Disputed Mine",The final permit from regulators in Queensland came less than a month after a conservative coalition that champions coal won in national elections. ,climate
Senate Takes Step to Approve Drilling in Arctic Wildlife Refuge,The prospects for opening the Arctic National Wildlife Refuge to oil and gas exploration are better than they have been in years.,climate
Antioxidants Don’t Ease Muscle Soreness After Exercise,"Supplements like cherry and pomegranate juice, vitamins C and E, and black tea extract did little to alleviate post-exercise muscle aches.",health
Automakers Shift Gears on Climate Change,"A conversation with the oceanographer Sylvia Earle. Also this week: We ask automakers about climate science, and forecasters look forward to spring.",climate
"Heat Wave Nudged the Planet to Its Hottest June, European Forecasters Say","A United States government analysis due this month is expected to reach similar conclusions, though the rankings of record months might differ slightly.",climate
Environmentalists and Nuclear Power? It’s Complicated,"Environmentalists and nuclear power make odd bedfellows, the world’s shipping sector charts a course, and a handy guide helps you reduce your own carbon footprint.",climate
Hearing Loss May Make You Accident Prone,"Poor hearing was associated with an increased likelihood of injuries related to driving, work, leisure and sports.",health
Does a ‘Strong’ Immune System Ward Off Colds and Flu?,"How well you fight off colds and flu is likely a combination of luck, genetics and lifestyle.",health
Do Parents Make Kids Fat?,There is an underlying assumption that children can be controlled if only their parents would take the trouble.,health
Heart Risks Tied to Parkinson’s Disease ,"Abdominal obesity, high triglycerides, high cholesterol, high blood pressure and high glucose readings were linked to an increased risk of developing Parkinson’s disease. ",health
Climate Change Is on the Ballot,"Global warming is an issue in midterm races in the United States — not to mention Brazil’s recent election, and Canada’s next one.",climate
Does Cooking Boost Nutrients in Tomatoes and Spinach?,Levels of some nutrients may go up with cooking. But levels of others go down.,health
How One Billionaire Could Keep Three Countries Hooked on Coal for Decades,The story of a mining project in Australia helps to explain why the world keeps burning coal despite the profound risk it poses to the future.,climate
Solar Power Is Burning Bright. But It’s Hardly Twilight for Fossil Fuels.,The world added more solar power than any other energy source in 2017. But it's still a tiny fraction of total electricity.,climate
Opposed to G.M.O.s? How Much Do You Know About Them?,"People who are the most extremely opposed to genetically modified organisms tend to know the least about them, a new study found.",health
Flavonoids in Plants May Help Protect Against Major Killers,Those who ate the most flavonoid-rich foods had a lower risk for cancer and cardiovascular death.,health
"Invasive Grasses May Worsen Wildfires, Study Suggests","Grasses that have encroached from other regions can make wildfires more frequent, according to a new study. ",climate
What Makes a Catastrophic Flood? And Is Climate Change Causing More of Them?,"Floods are complicated. But here are simple answers to questions about flooding, climate change and staying safe when the water rises.",climate
Cash for Carbon: Schumer Climate Plan Would Help Consumers Buy Electric Cars,A $450 billion climate change proposal from Senator Chuck Schumer would give consumers vouchers to buy American-made electric and hybrid cars and trucks.,climate
Could a Gut Bacteria Supplement Make Us Run Faster?,"Running a marathon ramps up levels of a gut bacteria that made mice run faster, but it’s unclear whether it would work in people.",health
Eating Processed Meats Tied to Breast Cancer Risk,"Women who ate the most processed meats, like hot dogs, bacon and ham, had a 9 percent increased risk of breast cancer compared to those who infrequently ate such foods.",health
"Even as Floods Worsen With Climate Change, Fewer People Insure Against Disaster","The Midwest floods have highlighted a gap in disaster readiness: Fewer Americans are buying flood insurance, even as climate change increases their risk.",climate
"Homes Are Being Built the Fastest in Many Flood-Prone Areas, Study Finds","Increased awareness of climate change has not diminished Americans' appetite for building homes in flood zones, new data show. ",climate
Americans Are Staying Home More. That’s Saving Energy. ,A new study suggests that tech-fueled lifestyle changes that encourage Americans to travel less are saving energy. But the full picture may be murkier.,climate
Child’s Play Is Good for All of Us,"If all sedentary children started exercising every day, the United States could save $120 billion a year, a study found....",health
